Job started on u040233.si.ehu.es
Date: Sat May  9 12:36:57 AM CEST 2026
CUDA_VISIBLE_DEVICES=2
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': '9.917', 'grad_norm': '0.294', 'learning_rate': '5.936e-06', 'epoch': '0.002271'}
{'loss': '9.775', 'grad_norm': '0.458', 'learning_rate': '1.199e-05', 'epoch': '0.004543'}
{'loss': '9.726', 'grad_norm': '0.5564', 'learning_rate': '1.805e-05', 'epoch': '0.006814'}
{'loss': '9.324', 'grad_norm': '0.8578', 'learning_rate': '2.411e-05', 'epoch': '0.009086'}
{'loss': '8.114', 'grad_norm': '0.7154', 'learning_rate': '3.016e-05', 'epoch': '0.01136'}
{'loss': '7.08', 'grad_norm': '0.5936', 'learning_rate': '3.622e-05', 'epoch': '0.01363'}
{'loss': '6.747', 'grad_norm': '0.5043', 'learning_rate': '4.228e-05', 'epoch': '0.0159'}
{'loss': '6.634', 'grad_norm': '0.4901', 'learning_rate': '4.833e-05', 'epoch': '0.01817'}
{'loss': '6.499', 'grad_norm': '0.4515', 'learning_rate': '5.439e-05', 'epoch': '0.02044'}
{'loss': '6.593', 'grad_norm': '0.516', 'learning_rate': '6.045e-05', 'epoch': '0.02271'}
{'loss': '6.526', 'grad_norm': '0.5704', 'learning_rate': '6.651e-05', 'epoch': '0.02499'}
{'loss': '6.412', 'grad_norm': '0.5152', 'learning_rate': '7.256e-05', 'epoch': '0.02726'}
{'loss': '6.445', 'grad_norm': '0.5277', 'learning_rate': '7.862e-05', 'epoch': '0.02953'}
{'loss': '6.39', 'grad_norm': '0.5721', 'learning_rate': '8.468e-05', 'epoch': '0.0318'}
{'loss': '6.422', 'grad_norm': '0.5809', 'learning_rate': '9.073e-05', 'epoch': '0.03407'}
{'loss': '6.356', 'grad_norm': '0.5924', 'learning_rate': '9.679e-05', 'epoch': '0.03634'}
{'loss': '6.413', 'grad_norm': '0.6161', 'learning_rate': '0.0001028', 'epoch': '0.03862'}
{'loss': '6.383', 'grad_norm': '0.5617', 'learning_rate': '0.0001089', 'epoch': '0.04089'}
{'loss': '6.369', 'grad_norm': '0.5806', 'learning_rate': '0.000115', 'epoch': '0.04316'}
{'loss': '6.327', 'grad_norm': '0.6094', 'learning_rate': '0.000121', 'epoch': '0.04543'}
{'loss': '6.174', 'grad_norm': '0.6684', 'learning_rate': '0.0001271', 'epoch': '0.0477'}
{'loss': '6.306', 'grad_norm': '0.7152', 'learning_rate': '0.0001331', 'epoch': '0.04997'}
{'loss': '6.193', 'grad_norm': '0.6029', 'learning_rate': '0.0001392', 'epoch': '0.05224'}
{'loss': '6.318', 'grad_norm': '0.701', 'learning_rate': '0.0001452', 'epoch': '0.05452'}
{'loss': '6.169', 'grad_norm': '0.6421', 'learning_rate': '0.0001513', 'epoch': '0.05679'}
{'loss': '6.195', 'grad_norm': '0.6297', 'learning_rate': '0.0001574', 'epoch': '0.05906'}
{'loss': '6.184', 'grad_norm': '0.6504', 'learning_rate': '0.0001634', 'epoch': '0.06133'}
{'loss': '6.175', 'grad_norm': '0.6153', 'learning_rate': '0.0001695', 'epoch': '0.0636'}
{'loss': '6.155', 'grad_norm': '0.5885', 'learning_rate': '0.0001755', 'epoch': '0.06587'}
{'loss': '6.243', 'grad_norm': '0.622', 'learning_rate': '0.0001816', 'epoch': '0.06814'}
{'loss': '6.287', 'grad_norm': '0.6873', 'learning_rate': '0.0001876', 'epoch': '0.07042'}
{'loss': '6.375', 'grad_norm': '0.6169', 'learning_rate': '0.0001937', 'epoch': '0.07269'}
{'loss': '6.366', 'grad_norm': '0.6173', 'learning_rate': '0.0001998', 'epoch': '0.07496'}
{'loss': '6.325', 'grad_norm': '0.6135', 'learning_rate': '0.0002', 'epoch': '0.07723'}
{'loss': '6.275', 'grad_norm': '0.6553', 'learning_rate': '0.0002', 'epoch': '0.0795'}
{'loss': '6.327', 'grad_norm': '0.6661', 'learning_rate': '0.0002', 'epoch': '0.08177'}
{'loss': '6.125', 'grad_norm': '0.5864', 'learning_rate': '0.0002', 'epoch': '0.08405'}
{'loss': '6.223', 'grad_norm': '0.6044', 'learning_rate': '0.0002', 'epoch': '0.08632'}
{'loss': '6.38', 'grad_norm': '0.6416', 'learning_rate': '0.0002', 'epoch': '0.08859'}
{'loss': '6.192', 'grad_norm': '0.6462', 'learning_rate': '0.0001999', 'epoch': '0.09086'}
{'eval_loss': '2.261', 'eval_runtime': '4.713', 'eval_samples_per_second': '211.5', 'eval_steps_per_second': '26.52', 'epoch': '0.09086'}
{'loss': '6.322', 'grad_norm': '0.5385', 'learning_rate': '0.0001999', 'epoch': '0.09313'}
{'loss': '6.214', 'grad_norm': '0.6474', 'learning_rate': '0.0001999', 'epoch': '0.0954'}
{'loss': '6.273', 'grad_norm': '0.6238', 'learning_rate': '0.0001999', 'epoch': '0.09767'}
{'loss': '6.149', 'grad_norm': '0.6338', 'learning_rate': '0.0001998', 'epoch': '0.09995'}
{'loss': '6.137', 'grad_norm': '0.5911', 'learning_rate': '0.0001998', 'epoch': '0.1022'}
{'loss': '6.236', 'grad_norm': '0.6119', 'learning_rate': '0.0001998', 'epoch': '0.1045'}
{'loss': '6.202', 'grad_norm': '0.6118', 'learning_rate': '0.0001998', 'epoch': '0.1068'}
{'loss': '6.181', 'grad_norm': '0.6141', 'learning_rate': '0.0001997', 'epoch': '0.109'}
{'loss': '6.194', 'grad_norm': '0.5763', 'learning_rate': '0.0001997', 'epoch': '0.1113'}
{'loss': '6.242', 'grad_norm': '0.5791', 'learning_rate': '0.0001996', 'epoch': '0.1136'}
{'loss': '6.353', 'grad_norm': '0.636', 'learning_rate': '0.0001996', 'epoch': '0.1158'}
{'loss': '6.273', 'grad_norm': '0.6661', 'learning_rate': '0.0001995', 'epoch': '0.1181'}
{'loss': '6.216', 'grad_norm': '0.7143', 'learning_rate': '0.0001995', 'epoch': '0.1204'}
{'loss': '6.195', 'grad_norm': '0.6053', 'learning_rate': '0.0001994', 'epoch': '0.1227'}
{'loss': '6.006', 'grad_norm': '0.5271', 'learning_rate': '0.0001994', 'epoch': '0.1249'}
{'loss': '6.232', 'grad_norm': '0.5585', 'learning_rate': '0.0001993', 'epoch': '0.1272'}
{'loss': '6.287', 'grad_norm': '0.5702', 'learning_rate': '0.0001993', 'epoch': '0.1295'}
{'loss': '6.124', 'grad_norm': '0.6218', 'learning_rate': '0.0001992', 'epoch': '0.1317'}
{'loss': '6.181', 'grad_norm': '0.5488', 'learning_rate': '0.0001992', 'epoch': '0.134'}
{'loss': '6.187', 'grad_norm': '0.6673', 'learning_rate': '0.0001991', 'epoch': '0.1363'}
{'loss': '6.242', 'grad_norm': '0.587', 'learning_rate': '0.000199', 'epoch': '0.1386'}
{'loss': '6.168', 'grad_norm': '0.579', 'learning_rate': '0.000199', 'epoch': '0.1408'}
{'loss': '6.064', 'grad_norm': '0.5337', 'learning_rate': '0.0001989', 'epoch': '0.1431'}
{'loss': '6.088', 'grad_norm': '0.5612', 'learning_rate': '0.0001988', 'epoch': '0.1454'}
{'loss': '6.208', 'grad_norm': '0.6426', 'learning_rate': '0.0001987', 'epoch': '0.1476'}
{'loss': '6.315', 'grad_norm': '0.529', 'learning_rate': '0.0001986', 'epoch': '0.1499'}
{'loss': '6.243', 'grad_norm': '0.5283', 'learning_rate': '0.0001986', 'epoch': '0.1522'}
{'loss': '6.262', 'grad_norm': '0.5914', 'learning_rate': '0.0001985', 'epoch': '0.1545'}
{'loss': '6.089', 'grad_norm': '0.6198', 'learning_rate': '0.0001984', 'epoch': '0.1567'}
{'loss': '6.037', 'grad_norm': '0.6032', 'learning_rate': '0.0001983', 'epoch': '0.159'}
{'loss': '6.141', 'grad_norm': '0.5729', 'learning_rate': '0.0001982', 'epoch': '0.1613'}
{'loss': '6.12', 'grad_norm': '0.5336', 'learning_rate': '0.0001981', 'epoch': '0.1635'}
{'loss': '6.233', 'grad_norm': '0.5737', 'learning_rate': '0.000198', 'epoch': '0.1658'}
{'loss': '6.166', 'grad_norm': '0.5344', 'learning_rate': '0.0001979', 'epoch': '0.1681'}
{'loss': '6.019', 'grad_norm': '0.589', 'learning_rate': '0.0001978', 'epoch': '0.1704'}
{'loss': '6.207', 'grad_norm': '0.5523', 'learning_rate': '0.0001977', 'epoch': '0.1726'}
{'loss': '6.116', 'grad_norm': '0.5683', 'learning_rate': '0.0001976', 'epoch': '0.1749'}
{'loss': '6.282', 'grad_norm': '0.555', 'learning_rate': '0.0001975', 'epoch': '0.1772'}
{'loss': '6.179', 'grad_norm': '0.6251', 'learning_rate': '0.0001974', 'epoch': '0.1794'}
{'loss': '6.129', 'grad_norm': '0.6814', 'learning_rate': '0.0001972', 'epoch': '0.1817'}
{'eval_loss': '2.223', 'eval_runtime': '4.47', 'eval_samples_per_second': '223', 'eval_steps_per_second': '27.96', 'epoch': '0.1817'}
{'loss': '6.19', 'grad_norm': '0.5627', 'learning_rate': '0.0001971', 'epoch': '0.184'}
{'loss': '6.147', 'grad_norm': '0.5189', 'learning_rate': '0.000197', 'epoch': '0.1863'}
{'loss': '6.075', 'grad_norm': '0.6057', 'learning_rate': '0.0001969', 'epoch': '0.1885'}
{'loss': '6.112', 'grad_norm': '0.6236', 'learning_rate': '0.0001968', 'epoch': '0.1908'}
{'loss': '6.033', 'grad_norm': '0.539', 'learning_rate': '0.0001966', 'epoch': '0.1931'}
{'loss': '6.137', 'grad_norm': '0.6199', 'learning_rate': '0.0001965', 'epoch': '0.1953'}
{'loss': '6.132', 'grad_norm': '0.5519', 'learning_rate': '0.0001964', 'epoch': '0.1976'}
{'loss': '6.14', 'grad_norm': '0.5831', 'learning_rate': '0.0001962', 'epoch': '0.1999'}
{'loss': '6.145', 'grad_norm': '0.5818', 'learning_rate': '0.0001961', 'epoch': '0.2022'}
{'loss': '6.169', 'grad_norm': '0.5959', 'learning_rate': '0.000196', 'epoch': '0.2044'}
{'loss': '5.942', 'grad_norm': '0.5447', 'learning_rate': '0.0001958', 'epoch': '0.2067'}
{'loss': '5.945', 'grad_norm': '0.5998', 'learning_rate': '0.0001957', 'epoch': '0.209'}
{'loss': '6.061', 'grad_norm': '0.6478', 'learning_rate': '0.0001955', 'epoch': '0.2112'}
{'loss': '6.092', 'grad_norm': '0.5493', 'learning_rate': '0.0001954', 'epoch': '0.2135'}
