Job started on u040233.si.ehu.es
Date: Sun May 10 11:38:00 AM CEST 2026
CUDA_VISIBLE_DEVICES=2
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 4.8413, 'grad_norm': 0.43106868863105774, 'learning_rate': 2.4106602059357968e-05, 'epoch': 0.01}
{'loss': 3.5711, 'grad_norm': 0.24464626610279083, 'learning_rate': 4.8334342822531805e-05, 'epoch': 0.02}
{'loss': 3.2544, 'grad_norm': 0.25603947043418884, 'learning_rate': 7.256208358570563e-05, 'epoch': 0.03}
{'loss': 3.2027, 'grad_norm': 0.29285648465156555, 'learning_rate': 9.678982434887948e-05, 'epoch': 0.04}
{'loss': 3.187, 'grad_norm': 0.30552729964256287, 'learning_rate': 0.00012101756511205331, 'epoch': 0.05}
{'loss': 3.1242, 'grad_norm': 0.3384268879890442, 'learning_rate': 0.00014524530587522712, 'epoch': 0.05}
{'loss': 3.0906, 'grad_norm': 0.3028365671634674, 'learning_rate': 0.00016947304663840097, 'epoch': 0.06}
{'loss': 3.1324, 'grad_norm': 0.30735817551612854, 'learning_rate': 0.0001937007874015748, 'epoch': 0.07}
{'loss': 3.1617, 'grad_norm': 0.3361579179763794, 'learning_rate': 0.00019998901400845176, 'epoch': 0.08}
{'loss': 3.1149, 'grad_norm': 0.3197801411151886, 'learning_rate': 0.00019993926510241612, 'epoch': 0.09}
{'eval_loss': 2.2618892192840576, 'eval_chrf++': 54.6182, 'eval_runtime': 123.9063, 'eval_samples_per_second': 8.046, 'eval_steps_per_second': 1.009, 'epoch': 0.09}
{'loss': 3.1196, 'grad_norm': 0.31892386078834534, 'learning_rate': 0.00019984941702496745, 'epoch': 0.1}
{'loss': 3.0947, 'grad_norm': 0.3036583364009857, 'learning_rate': 0.00019971950582633544, 'epoch': 0.11}
{'loss': 3.1329, 'grad_norm': 0.32056647539138794, 'learning_rate': 0.00019954958363149232, 'epoch': 0.12}
{'loss': 3.0812, 'grad_norm': 0.2759250998497009, 'learning_rate': 0.00019933971861923867, 'epoch': 0.13}
{'loss': 3.0976, 'grad_norm': 0.3303167521953583, 'learning_rate': 0.00019908999499484745, 'epoch': 0.14}
{'loss': 3.0709, 'grad_norm': 0.2751622498035431, 'learning_rate': 0.0001988005129562779, 'epoch': 0.15}
{'loss': 3.1289, 'grad_norm': 0.2822284996509552, 'learning_rate': 0.0001984713886539729, 'epoch': 0.15}
{'loss': 3.0486, 'grad_norm': 0.2638583183288574, 'learning_rate': 0.0001981027541442547, 'epoch': 0.16}
{'loss': 3.0785, 'grad_norm': 0.27855393290519714, 'learning_rate': 0.00019769475733633982, 'epoch': 0.17}
{'loss': 3.0886, 'grad_norm': 0.3403453826904297, 'learning_rate': 0.00019724756193299236, 'epoch': 0.18}
{'eval_loss': 2.2184181213378906, 'eval_chrf++': 58.9055, 'eval_runtime': 117.8569, 'eval_samples_per_second': 8.459, 'eval_steps_per_second': 1.061, 'epoch': 0.18}
{'loss': 3.0664, 'grad_norm': 0.3050079047679901, 'learning_rate': 0.00019676134736484064, 'epoch': 0.19}
{'loss': 3.0556, 'grad_norm': 0.2834804654121399, 'learning_rate': 0.00019623630871838335, 'epoch': 0.2}
{'loss': 3.0256, 'grad_norm': 0.292675644159317, 'learning_rate': 0.00019567265665771391, 'epoch': 0.21}
{'loss': 3.0445, 'grad_norm': 0.3362639844417572, 'learning_rate': 0.00019507061733999473, 'epoch': 0.22}
{'loss': 3.0268, 'grad_norm': 0.2707104980945587, 'learning_rate': 0.00019443043232471462, 'epoch': 0.23}
{'loss': 3.0688, 'grad_norm': 0.2788518965244293, 'learning_rate': 0.00019375235847676685, 'epoch': 0.24}
{'loss': 3.0491, 'grad_norm': 0.28740718960762024, 'learning_rate': 0.0001930366678633858, 'epoch': 0.25}
{'loss': 3.048, 'grad_norm': 0.30587857961654663, 'learning_rate': 0.00019228364764498385, 'epoch': 0.25}
{'loss': 3.042, 'grad_norm': 0.27053916454315186, 'learning_rate': 0.00019149359995993264, 'epoch': 0.26}
{'loss': 3.0696, 'grad_norm': 0.28811848163604736, 'learning_rate': 0.00019066684180333427, 'epoch': 0.27}
