Job started on u040233.si.ehu.es
Date: Sat May  9 04:06:44 AM CEST 2026
CUDA_VISIBLE_DEVICES=0
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': '9.687', 'grad_norm': '0.8604', 'learning_rate': '2.411e-05', 'epoch': '0.009086'}
{'loss': '7.145', 'grad_norm': '0.4888', 'learning_rate': '4.833e-05', 'epoch': '0.01817'}
{'loss': '6.512', 'grad_norm': '0.5153', 'learning_rate': '7.256e-05', 'epoch': '0.02726'}
{'loss': '6.406', 'grad_norm': '0.6016', 'learning_rate': '9.679e-05', 'epoch': '0.03634'}
{'loss': '6.374', 'grad_norm': '0.6092', 'learning_rate': '0.000121', 'epoch': '0.04543'}
{'loss': '6.248', 'grad_norm': '0.6846', 'learning_rate': '0.0001452', 'epoch': '0.05452'}
{'loss': '6.181', 'grad_norm': '0.6092', 'learning_rate': '0.0001695', 'epoch': '0.0636'}
{'loss': '6.265', 'grad_norm': '0.6198', 'learning_rate': '0.0001937', 'epoch': '0.07269'}
{'loss': '6.323', 'grad_norm': '0.6648', 'learning_rate': '0.0002', 'epoch': '0.08177'}
{'loss': '6.23', 'grad_norm': '0.6388', 'learning_rate': '0.0001999', 'epoch': '0.09086'}
{'eval_loss': '2.258', 'eval_bleu': '13.7', 'eval_runtime': '125.1', 'eval_samples_per_second': '7.971', 'eval_steps_per_second': '0.999', 'epoch': '0.09086'}
{'loss': '6.239', 'grad_norm': '0.6406', 'learning_rate': '0.0001998', 'epoch': '0.09995'}
{'loss': '6.189', 'grad_norm': '0.6175', 'learning_rate': '0.0001997', 'epoch': '0.109'}
{'loss': '6.266', 'grad_norm': '0.6558', 'learning_rate': '0.0001995', 'epoch': '0.1181'}
{'loss': '6.162', 'grad_norm': '0.5657', 'learning_rate': '0.0001993', 'epoch': '0.1272'}
{'loss': '6.195', 'grad_norm': '0.663', 'learning_rate': '0.0001991', 'epoch': '0.1363'}
{'loss': '6.141', 'grad_norm': '0.554', 'learning_rate': '0.0001988', 'epoch': '0.1454'}
{'loss': '6.257', 'grad_norm': '0.5894', 'learning_rate': '0.0001985', 'epoch': '0.1545'}
{'loss': '6.096', 'grad_norm': '0.5278', 'learning_rate': '0.0001981', 'epoch': '0.1635'}
