Job started on u040233.si.ehu.es
Date: Sun May 10 01:53:36 PM CEST 2026
CUDA_VISIBLE_DEVICES=4
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 3.0389, 'grad_norm': 0.30747538805007935, 'learning_rate': 0.00017276014326967563, 'epoch': 0.42}
{'loss': 2.9862, 'grad_norm': 0.33177343010902405, 'learning_rate': 0.00017137149790569714, 'epoch': 0.43}
{'loss': 3.0354, 'grad_norm': 0.3360891044139862, 'learning_rate': 0.00016995421576991934, 'epoch': 0.44}
{'loss': 2.9826, 'grad_norm': 0.30302146077156067, 'learning_rate': 0.00016850886552611272, 'epoch': 0.45}
{'loss': 2.9515, 'grad_norm': 0.281934916973114, 'learning_rate': 0.00016703602709996628, 'epoch': 0.45}
{'eval_loss': 2.156219482421875, 'eval_chrf++': 44.3921, 'eval_runtime': 115.2506, 'eval_samples_per_second': 8.651, 'eval_steps_per_second': 1.085, 'epoch': 0.45}
{'loss': 2.9978, 'grad_norm': 0.35137107968330383, 'learning_rate': 0.000165536291446401, 'epoch': 0.46}
{'loss': 2.9824, 'grad_norm': 0.31066077947616577, 'learning_rate': 0.00016401026031245787, 'epoch': 0.47}
{'loss': 3.0117, 'grad_norm': 0.537027895450592, 'learning_rate': 0.00016245854599585544, 'epoch': 0.48}
{'loss': 2.9679, 'grad_norm': 0.3344648480415344, 'learning_rate': 0.00016088177109931448, 'epoch': 0.49}
{'loss': 3.0013, 'grad_norm': 0.3311797082424164, 'learning_rate': 0.00015928056828074772, 'epoch': 0.5}
{'loss': 2.9811, 'grad_norm': 0.30658507347106934, 'learning_rate': 0.000157655579999415, 'epoch': 0.51}
{'loss': 3.0085, 'grad_norm': 0.3228854835033417, 'learning_rate': 0.00015600745825814597, 'epoch': 0.52}
{'loss': 2.9614, 'grad_norm': 0.31941065192222595, 'learning_rate': 0.00015433686434173337, 'epoch': 0.53}
{'loss': 2.9816, 'grad_norm': 0.3442259430885315, 'learning_rate': 0.00015264446855160223, 'epoch': 0.54}
{'loss': 2.9596, 'grad_norm': 0.31136655807495117, 'learning_rate': 0.00015093094993686123, 'epoch': 0.55}
{'eval_loss': 2.1885359287261963, 'eval_chrf++': 42.47, 'eval_runtime': 126.5666, 'eval_samples_per_second': 7.877, 'eval_steps_per_second': 0.988, 'epoch': 0.55}
