Job started on u040233.si.ehu.es
Date: Sun May 10 03:33:42 PM CEST 2026
CUDA_VISIBLE_DEVICES=2
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 4.8414, 'grad_norm': 0.42683345079421997, 'learning_rate': 2.4106602059357968e-05, 'epoch': 0.01}
{'loss': 3.5733, 'grad_norm': 0.24496273696422577, 'learning_rate': 4.8334342822531805e-05, 'epoch': 0.02}
{'loss': 3.2556, 'grad_norm': 0.2589603364467621, 'learning_rate': 7.256208358570563e-05, 'epoch': 0.03}
{'loss': 3.2029, 'grad_norm': 0.2925770878791809, 'learning_rate': 9.678982434887948e-05, 'epoch': 0.04}
{'loss': 3.187, 'grad_norm': 0.30058974027633667, 'learning_rate': 0.00012101756511205331, 'epoch': 0.05}
{'loss': 3.1242, 'grad_norm': 0.3376893997192383, 'learning_rate': 0.00014524530587522712, 'epoch': 0.05}
{'loss': 3.0908, 'grad_norm': 0.304442822933197, 'learning_rate': 0.00016947304663840097, 'epoch': 0.06}
{'loss': 3.1327, 'grad_norm': 0.3078800439834595, 'learning_rate': 0.0001937007874015748, 'epoch': 0.07}
{'loss': 3.1617, 'grad_norm': 0.32933253049850464, 'learning_rate': 0.00019998901400845176, 'epoch': 0.08}
{'loss': 3.1152, 'grad_norm': 0.31846219301223755, 'learning_rate': 0.00019993926510241612, 'epoch': 0.09}
{'eval_loss': 2.2599477767944336, 'eval_runtime': 3.7186, 'eval_samples_per_second': 268.114, 'eval_steps_per_second': 33.615, 'epoch': 0.09}
{'loss': 3.1199, 'grad_norm': 0.313680499792099, 'learning_rate': 0.00019984941702496745, 'epoch': 0.1}
{'loss': 3.0945, 'grad_norm': 0.3063911199569702, 'learning_rate': 0.00019971950582633544, 'epoch': 0.11}
{'loss': 3.1328, 'grad_norm': 0.3280535340309143, 'learning_rate': 0.00019954958363149232, 'epoch': 0.12}
{'loss': 3.0814, 'grad_norm': 0.2835162878036499, 'learning_rate': 0.00019933971861923867, 'epoch': 0.13}
