Job started on u040233.si.ehu.es
Date: Sun May 10 03:24:43 AM CEST 2026
CUDA_VISIBLE_DEVICES=5
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 3.039, 'grad_norm': 0.304046094417572, 'learning_rate': 0.00017276014326967563, 'epoch': 0.42}
{'loss': 2.9863, 'grad_norm': 0.3357420265674591, 'learning_rate': 0.00017137149790569714, 'epoch': 0.43}
{'loss': 3.0357, 'grad_norm': 0.3344913721084595, 'learning_rate': 0.00016995421576991934, 'epoch': 0.44}
{'loss': 2.983, 'grad_norm': 0.3016210198402405, 'learning_rate': 0.00016850886552611272, 'epoch': 0.45}
{'loss': 2.9514, 'grad_norm': 0.27731144428253174, 'learning_rate': 0.00016703602709996628, 'epoch': 0.45}
{'eval_loss': 2.15412974357605, 'eval_chrf++': 44.2164, 'eval_runtime': 150.3852, 'eval_samples_per_second': 6.63, 'eval_steps_per_second': 0.831, 'epoch': 0.45}
{'loss': 2.9977, 'grad_norm': 0.33918291330337524, 'learning_rate': 0.000165536291446401, 'epoch': 0.46}
{'loss': 2.983, 'grad_norm': 0.30509868264198303, 'learning_rate': 0.00016401026031245787, 'epoch': 0.47}
{'loss': 3.0121, 'grad_norm': 0.32513514161109924, 'learning_rate': 0.00016245854599585544, 'epoch': 0.48}
{'loss': 2.9681, 'grad_norm': 0.32736167311668396, 'learning_rate': 0.00016088177109931448, 'epoch': 0.49}
{'loss': 3.0008, 'grad_norm': 0.3366142213344574, 'learning_rate': 0.00015928056828074772, 'epoch': 0.5}
{'loss': 2.9813, 'grad_norm': 0.3038206100463867, 'learning_rate': 0.000157655579999415, 'epoch': 0.51}
{'loss': 3.0083, 'grad_norm': 0.31610509753227234, 'learning_rate': 0.00015600745825814597, 'epoch': 0.52}
{'loss': 2.9615, 'grad_norm': 0.3133249282836914, 'learning_rate': 0.00015433686434173337, 'epoch': 0.53}
{'loss': 2.9819, 'grad_norm': 0.3439601957798004, 'learning_rate': 0.00015264446855160223, 'epoch': 0.54}
